Dates;Open;Close;High;Low;Value;Volume
3/1/18 3:30 PM;44,68;44,76;44,98;44,61;67072840;1498716
3/1/18 3:40 PM;44,77;44,555;44,77;44,4652;35688520;800347
3/1/18 3:50 PM;44,55;44,4;44,58;44,33;45009224;1012920
3/1/18 4:00 PM;44,4;44,61;44,7;44,33;35607712;798628
3/1/18 4:10 PM;44,61;44,6;44,67;44,46;22151236;497096
3/1/18 4:20 PM;44,61;44,77;44,79;44,51;23710384;531073
3/1/18 4:30 PM;44,78;44,95;45;44,71;29395496;654933
3/1/18 4:40 PM;44,95;44,889;44,99;44,81;23100928;514722
3/1/18 4:50 PM;44,88;44,6437;44,886;44,61;22241908;497144
3/1/18 5:00 PM;44,64;44,74;44,77;44,53;20294530;454693
3/1/18 5:10 PM;44,73;44,77;44,77;44,56;19997368;447819
3/1/18 5:20 PM;44,7799;44,59;44,81;44,52;16581741;371201
3/1/18 5:30 PM;44,585;44,6372;44,65;44,51;16808710;377079
3/1/18 5:40 PM;44,63;44,72;44,79;44,61;16855096;376837
3/1/18 5:50 PM;44,73;44,73;44,83;44,705;25713332;574581
3/1/18 6:00 PM;44,74;44,56;44,75;44,48;19068188;427700
3/1/18 6:10 PM;44,56;44,34;44,59;44,34;26301034;591456
3/1/18 6:20 PM;44,34;44,33;44,39;44,26;28868878;651329
3/1/18 6:30 PM;44,32;44,24;44,32;44,17;22544988;509707
3/1/18 6:40 PM;44,24;44,34;44,35;44,15;20292586;458563
3/1/18 6:50 PM;44,35;44,22;44,36;44,2;17125830;386890
3/1/18 7:00 PM;44,21;43,86;44,21;43,815;39254384;892794
3/1/18 7:10 PM;43,87;43,99;44,0389;43,8;24593856;559783
3/1/18 7:20 PM;43,98;43,95;44,09;43,91;20173566;458381
3/1/18 7:30 PM;43,95;43,9188;44,02;43,84;21028930;478845
3/1/18 7:40 PM;43,9148;43,82;43,94;43,71;24540416;560004
3/1/18 7:50 PM;43,8148;43,6715;43,8701;43,66;19834506;453194
3/1/18 8:00 PM;43,68;43,535;43,7121;43,48;45255604;1038031
3/1/18 8:10 PM;43,54;43,6;43,64;43,35;36516072;840065
3/1/18 8:20 PM;43,6;43,63;43,66;43,47;31906932;732256
3/1/18 8:30 PM;43,64;43,46;43,69;43,43;34993904;803917
3/1/18 8:40 PM;43,46;43,52;43,71;43,44;30286546;694503
3/1/18 8:50 PM;43,52;43,62;43,64;43,51;34294972;787246
3/1/18 9:00 PM;43,624;43,79;43,85;43,48;30330494;695283
3/1/18 9:10 PM;43,79;43,985;43,99;43,7034;31252410;712594
3/1/18 9:20 PM;43,98;43,88;44,04;43,815;29138542;663674
3/1/18 9:30 PM;43,88;43,645;43,95;43,64;37539628;857557
3/1/18 9:40 PM;43,65;43,8;43,88;43,565;63267380;1448179
3/1/18 9:50 PM;43,79;43,8;43,98;43,73;179436576;4094179
3/1/18 10:20 PM;43,78;43,8;43,8;43,78;0;0
3/2/18 3:30 PM;43,29;43,2352;43,42;43,15;65867536;1521596
3/2/18 3:40 PM;43,23;43,17;43,395;43,1;41195292;952914
3/2/18 3:50 PM;43,17;43,33;43,36;43,11;40822348;943974
3/2/18 4:00 PM;43,33;43,35;43,4667;43,27;35406368;816511
3/2/18 4:10 PM;43,34;43,271;43,37;43,26;25174296;581341
3/2/18 4:20 PM;43,27;43,35;43,38;43,205;21462610;495689
3/2/18 4:30 PM;43,345;43,51;43,5162;43,305;28154940;648370
3/2/18 4:40 PM;43,51;43,485;43,59;43,45;21389100;491475
3/2/18 4:50 PM;43,49;43,35;43,5;43,35;22591154;520229
3/2/18 5:00 PM;43,34;43,32;43,41;43,3;18520284;427219
3/2/18 5:10 PM;43,32;43,25;43,39;43,25;21158198;488377
3/2/18 5:20 PM;43,25;43,39;43,44;43,22;70645120;1632635
3/2/18 5:30 PM;43,39;43,36;43,46;43,3;25134492;579454
3/2/18 5:40 PM;43,355;43,5;43,55;43,31;35324716;812551
3/2/18 5:50 PM;43,5064;43,65;43,67;43,48;22624778;519434
3/2/18 6:00 PM;43,65;43,52;43,69;43,47;31782038;729730
3/2/18 6:10 PM;43,53;43,58;43,61;43,4633;22048252;506390
3/2/18 6:20 PM;43,585;43,66;43,69;43,545;20225748;463526
3/2/18 6:30 PM;43,66;43,57;43,67;43,56;19645366;450296
3/2/18 6:40 PM;43,58;43,735;43,77;43,56;14216323;325403
3/2/18 6:50 PM;43,7363;43,78;43,84;43,71;22787060;520288
3/2/18 7:00 PM;43,77;43,715;43,8;43,67;14536416;332461
3/2/18 7:10 PM;43,71;43,62;43,735;43,56;16895254;387215
3/2/18 7:20 PM;43,63;43,51;43,68;43,51;14458190;331695
