Dates;Open;Close;High;Low;Value;Volume
1/3/18 9:00;46,63;46,725;46,8;46,575;12749083;273207
1/3/18 9:10;46,725;46,625;46,75;46,62;4258218,5;91205
1/3/18 9:20;46,62;46,65;46,71;46,615;5145786,5;110272
1/3/18 9:30;46,65;46,775;46,82;46,62;4698093;100565
1/3/18 9:40;46,77;46,755;46,83;46,75;3548564,5;75852
1/3/18 9:50;46,75;46,75;46,795;46,735;2966246;63430
1/3/18 10:00;46,745;46,63;46,765;46,62;4378856,5;93806
1/3/18 10:10;46,62;46,655;46,66;46,605;2104894,25;45141
1/3/18 10:20;46,65;46,625;46,705;46,61;2106496,5;45157
1/3/18 10:30;46,625;46,5;46,65;46,47;5703076;122474
1/3/18 10:40;46,49;46,44;46,495;46,365;6332964;136377
1/3/18 10:50;46,44;46,37;46,445;46,33;4971593,5;107224
1/3/18 11:00;46,36;46,325;46,455;46,325;5463381;117716
1/3/18 11:10;46,32;46,33;46,41;46,3;3220134,5;69489
1/3/18 11:20;46,32;46,335;46,39;46,26;6648951;143571
1/3/18 11:30;46,33;46,425;46,455;46,33;3973465;85619
1/3/18 11:40;46,42;46,375;46,43;46,36;5092055;109762
1/3/18 11:50;46,365;46,405;46,41;46,325;3457923,5;74569
1/3/18 12:00;46,405;46,505;46,515;46,405;3163925;68105
1/3/18 12:10;46,51;46,475;46,51;46,44;3014588,5;64862
1/3/18 12:20;46,48;46,41;46,49;46,41;2162359,5;46542
1/3/18 12:30;46,42;46,38;46,42;46,35;2684158;57862
1/3/18 12:40;46,37;46,305;46,375;46,3;1950201,625;42088
1/3/18 12:50;46,3;46,36;46,37;46,285;3128878;67556
1/3/18 13:00;46,36;46,405;46,41;46,345;2161625,75;46611
1/3/18 13:10;46,41;46,4;46,465;46,395;2143230,5;46166
1/3/18 13:20;46,4;46,41;46,45;46,38;1957939;42183
1/3/18 13:30;46,41;46,415;46,475;46,4;1404611,75;30246
1/3/18 13:40;46,41;46,4;46,47;46,375;1433434,75;30879
1/3/18 13:50;46,395;46,4;46,43;46,38;2342486,75;50480
1/3/18 14:00;46,4;46,505;46,505;46,4;1885301,125;40590
