Dates;Open;Close;High;Low;Value;Volume
1/3/18 15:30;155,53;155,605;156,56;155,41;24258338;155603
1/3/18 15:40;155,701;155,47;155,87;155,34;11530850;74102
1/3/18 15:50;155,54;155,37;155,54;155,14;18643824;120030
1/3/18 16:00;155,444;155,75;156,01;155,23;9620566;61784
1/3/18 16:10;155,75;156,19;156,4;155,62;11019702;70705
1/3/18 16:20;156,208;156,46;156,46;155,96;4472265;28635
1/3/18 16:30;156,43;156,71;156,974;156,3;8132812;51931
1/3/18 16:40;156,69;156,59;156,83;156,45;10798137;68943
1/3/18 16:50;156,62;156,17;156,62;156,12;7169920,5;45846
1/3/18 17:00;156,13;156,29;156,52;156,08;7961969;50935
1/3/18 17:10;156,315;156,281;156,32;156;6448363;41291
1/3/18 17:20;156,342;155,95;156,56;155,74;5997411,5;38400
1/3/18 17:30;155,96;156,04;156,294;155,88;11052302;70807
1/3/18 17:40;156,1;156,22;156,56;155,95;8786121;56261
1/3/18 17:50;156,26;156,211;156,49;156,19;7755036,5;49607
1/3/18 18:00;156,26;155,79;156,27;155,63;9491072;60855
1/3/18 18:10;155,76;155,59;155,9;155,59;8173025,5;52473
1/3/18 18:20;155,53;155,5;155,62;155,31;5798188,5;37293
1/3/18 18:30;155,45;155,51;155,51;155,16;5551786;35732
1/3/18 18:40;155,504;155,73;155,79;155,34;3916627,25;25178
1/3/18 18:50;155,79;155,33;155,79;155,33;4460201;28675
1/3/18 19:00;155,32;154,46;155,349;154,377;13348205;86244
1/3/18 19:10;154,44;154,33;154,59;154,14;16306801;105624
1/3/18 19:20;154,31;154,54;154,78;154,09;10324357;66873
1/3/18 19:30;154,5;154,48;154,675;154,3;6720089;43502
1/3/18 19:40;154,46;154,1;154,46;153,901;7690576,5;49885
1/3/18 19:50;154,11;153,81;154,31;153,779;6565233,5;42612
1/3/18 20:00;153,81;153,46;153,89;153,24;16385656;106693
1/3/18 20:10;153,467;153,63;153,63;152,79;15634782;102061
1/3/18 20:20;153,625;153,63;153,829;153,22;12275186;79922
1/3/18 20:30;153,66;152,98;153,73;152,88;11033316;72010
