Dates;Open;Close;High;Low;Value;Volume
43160,375;246;245,35;246,3;245,35;7066879;28736
43160,38194;245,5;245,1;245,7;245;3134605,75;12778
43160,38889;245;245,2;245,65;244,85;3150735,5;12848
43160,39583;245,15;246,05;246,15;244,8;2432498,75;9906
43160,40278;246,05;245,9;246,45;245,8;1585923;6444
43160,40972;245,95;246,1;246,4;245,95;2009046,38;8163
43160,41667;246,05;245,25;246,05;245,1;1705889,38;6949
43160,42361;245,25;244,9;245,25;244,7;2004594,75;8184
43160,43056;245;245,15;245,55;244,85;1284167,38;5236
43160,4375;245,1;244,2;245,4;244,05;1940305;7932
43160,44444;244,2;244,25;244,35;243,45;3729161,25;15288
43160,45139;244,15;243,65;244,3;243,6;3872008;15872
43160,45833;243,65;243,6;244;243,6;3026054,25;12414
43160,46528;243,6;243,5;243,9;243,45;1523474,5;6254
43160,47222;243,45;243,5;243,65;243,2;1395679,25;5734
43160,47917;243,55;243,55;243,75;243,4;1488478,13;6112
43160,48611;243,55;243,8;243,8;243,45;984732;4042
43160,49306;243,9;244,15;244,15;243,75;1247086,5;5113
43160,5;244,15;244,5;244,5;244,1;835458,19;3420
43160,50694;244,5;244,15;244,5;244,1;1178106,38;4823
43160,51389;244,15;243,6;244,3;243,6;653182,75;2677
43160,52083;243,6;243,45;243,8;243,4;800884,5;3288
43160,52778;243,4;243,5;243,5;243,3;1184666,75;4867
43160,53472;243,5;243,75;243,9;243,45;2338055,75;9597
43160,54167;243,7;244,2;244,25;243,55;2694654,75;11052
43160,54861;244,2;243,9;244,2;243,85;610689,88;2503
43160,55556;243,9;243,9;244,1;243,8;728624,13;2987
43160,5625;243,9;243,7;244,1;243,6;552997,81;2268
43160,56944;243,65;243,4;243,7;243,4;755105,56;3100
43160,57639;243,4;243,4;243,45;243,2;552643,88;2271
43160,58333;243,4;243,5;243,55;243,2;704608,63;2896
43160,59028;243,45;243,1;243,45;243,1;934936,75;3843
43160,59722;243,05;242,9;243,05;242,85;626829,5;2580
43160,60417;242,95;243,65;243,7;242,95;628012,19;2580
43160,61111;243,7;244,25;244,25;243,7;1606565,88;6582
43160,61806;244,2;244,2;244,55;244,1;643922,69;2635
43160,625;244,3;244,45;244,5;244,1;1838879,88;7526
43160,63194;244,45;244,45;244,65;244,4;1275635,13;5217
43160,63889;244,4;243,85;244,4;243,85;1388456;5688
43160,64583;243,9;243,4;244,2;243,35;1895986,25;7776
43160,65278;243,35;242,85;243,35;242,8;1607100,63;6613
43160,65972;242,85;241,95;242,9;241,65;3999848,75;16516
43160,66667;241,95;243;243,45;241,75;2683775,5;11059
43160,67361;243;243,35;243,65;242,65;1914729,88;7877
43160,68056;243,3;244,1;244,1;243,15;1753988,63;7201
43160,6875;244,1;244,5;244,9;243,95;2466277;10089
43160,69444;244,5;244,05;244,55;243,8;2164245;8865
43160,70139;244,05;244,05;244,25;243,65;3924491,5;16087
43160,70833;243,95;243,85;244,2;243,75;3167026;12981
43160,71528;243,8;243,9;244;243,4;5418556,5;22240
43160,72222;243,9;243,9;244,15;243,7;4392247,5;18006
43160,72917;244,1;244,1;244,1;244,1;57025436;233615
43161,375;241,75;240,6;242,2;240,5;6411908;26588
43161,38194;240,55;241,75;241,75;240,4;2660650,75;11034
43161,38889;241,75;242,15;242,35;241,55;4113062,75;16995
43161,39583;242,2;241,95;242,4;241,65;2765438,5;11429
43161,40278;242,05;242;242,1;241,7;1841052,75;7611
43161,40972;242;241,75;242,15;241,65;2142389;8855
43161,41667;241,8;241,45;242,1;241,4;2790035,5;11543
43161,42361;241,4;241,25;241,6;241,05;2650385,75;10981
43161,43056;241,25;240,05;241,25;239,85;5847103,5;24328
43161,4375;240,05;240,15;240,2;239,5;4172089,25;17388
43161,44444;240,1;240,25;240,65;239,95;2174841,25;9050
43161,45139;240,25;240,6;240,8;240,2;2628765,25;10929
43161,45833;240,7;241,15;241,25;240,7;2951164,5;12247
43161,46528;241,15;241,05;241,55;240,95;2606815,5;10804
43161,47222;241;240,95;241,25;240,9;1420641,25;5894
43161,47917;241,05;241,05;241,1;240,9;3013575;12505
43161,48611;241;240,85;241,05;240,75;2005573,5;8325
